epoch,accuracy,loss,val_accuracy,val_loss
0,0.14,2.4750158920288086,0.1,2.397890157699585
1,0.132,2.390144645690918,0.1,2.3381504821777344
2,0.162,2.335058567047119,0.1,2.306676263809204
3,0.168,2.30291841506958,0.12,2.2787092304229737
4,0.168,2.2785255489349363,0.12,2.2588937950134276
5,0.166,2.2555721321105957,0.12,2.239449691772461
6,0.16,2.236168689727783,0.22,2.2227610397338866
7,0.198,2.2148917446136474,0.28,2.2109201908111573
8,0.224,2.194696376800537,0.3,2.1956344413757325
9,0.238,2.1727357120513915,0.32,2.1743304252624513
10,0.248,2.142563480377197,0.26,2.1472825813293457
11,0.252,2.115751117706299,0.18,2.1312435913085936
12,0.268,2.08980735206604,0.24,2.111464776992798
13,0.284,2.0629492473602293,0.26,2.0887969875335695
14,0.302,2.0395796871185303,0.26,2.0723242568969726
15,0.292,2.0143676891326905,0.24,2.0591353607177734
16,0.304,1.9907465629577636,0.24,2.0432938289642335
17,0.318,1.9692425918579102,0.28,2.0284790706634523
18,0.326,1.947905616760254,0.24,2.012360472679138
19,0.324,1.926777967453003,0.24,1.9935885047912598
20,0.334,1.9082874851226808,0.24,1.983426070213318
21,0.326,1.8888673858642577,0.24,1.9690903282165528
22,0.326,1.8714261999130248,0.24,1.9613983011245728
23,0.338,1.8555942287445069,0.24,1.9475016069412232
24,0.35,1.840429518699646,0.22,1.944317708015442
25,0.362,1.8260821933746338,0.22,1.9322386217117309
26,0.364,1.8122639770507813,0.24,1.9239723920822143
27,0.364,1.7996855831146241,0.22,1.9151978492736816
28,0.344,1.7892760486602783,0.26,1.9096655416488648
29,0.352,1.7777639446258544,0.24,1.9088960981369019
30,0.37,1.7700095806121827,0.26,1.9010372018814088
31,0.38,1.759271089553833,0.24,1.9020068311691285
32,0.354,1.7516834011077882,0.26,1.8946709537506103
33,0.354,1.7432263336181641,0.28,1.8956024932861328
34,0.388,1.7358187732696533,0.26,1.8916716623306273
35,0.382,1.7292135906219483,0.24,1.8896763038635254
36,0.378,1.7234979724884034,0.26,1.889188289642334
37,0.37,1.7164984035491944,0.26,1.8880798244476318
38,0.392,1.710303656578064,0.28,1.8883194017410279
39,0.384,1.7049255352020263,0.26,1.8821481370925903
40,0.388,1.6991887073516845,0.28,1.8871922254562379
41,0.384,1.6952501916885376,0.26,1.8860096740722656
42,0.396,1.6896307582855226,0.28,1.8869978952407838
