Id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,-0.0292,-0.038,-0.039,-0.039,-0.039,-0.037000000000000005,-0.0395,-0.0378,-0.0433,-0.0443,-0.0469,-0.0454,-0.0454,-0.0454,-0.0458,-0.0458,-0.0458,-0.0451,-0.0629,-0.0629,-0.0629,-0.0629,-0.0629,-0.0629,-0.0629,-0.0629,-0.0629,-0.0629,-0.0629,-0.0629,-0.0629
1,-0.0119,-0.0163,-0.0194,-0.0232,-0.0239,-0.0338,-0.0351,-0.0351,-0.0351,-0.0443,-0.0443,-0.0443,-0.0443,-0.0443,-0.0443,-0.0443,-0.0602,-0.0603,-0.0603,-0.0603,-0.0603,-0.0603,-0.0603,-0.0603,-0.0603,-0.0603,-0.0603,-0.0603,-0.0603,-0.0603,-0.0603
2,-0.0136,-0.0144,-0.0153,-0.0376,-0.0435,-0.0435,-0.0435,-0.0435,-0.0435,-0.0435,-0.0435,-0.0435,-0.0435,-0.0435,-0.0435,-0.0435,-0.0435,-0.0435,-0.0472,-0.0495,-0.0492,-0.0776,-0.0748,-0.08,-0.085,-0.0498,-0.0697,-0.0859,-0.0848,-0.0884,-0.0866
3,-0.0243,-0.0282,-0.0341,-0.0343,-0.0414,-0.0388,-0.0383,-0.0407,-0.0417,-0.0382,-0.0381,-0.0334,-0.0379,-0.0398,-0.0424,-0.039,-0.0402,-0.0399,-0.0438,-0.0438,-0.0446,-0.0472,-0.0515,-0.0498,-0.0441,-0.044000000000000004,-0.0426,-0.0394,-0.0401,-0.0378,-0.0378
4,-0.0215,-0.0223,-0.0224,-0.0226,-0.023,-0.0171,-0.0216,-0.0281,-0.0302,-0.023,-0.0259,-0.0243,-0.0179,-0.0179,-0.022,-0.0294,-0.009000000000000001,-0.0216,-0.0158,-0.0278,-0.0144,0.0056,0.0067,0.0167,0.0278,0.0352,0.0379,0.0374,0.0364,0.0401,0.0428
5,-0.0329,-0.0035,-0.0005,0.0063,0.0145,0.0188,0.024,0.0316,0.0423,0.0412,0.0566,0.052000000000000005,0.0575,0.0622,0.0608,0.0654,0.0723,0.0687,0.0691,0.07,0.0724,0.0724,0.0731,0.075,0.076,0.0758,0.0766,0.0776,0.0796,0.0752,0.077
6,-0.0096,-0.0104,-0.0119,-0.0125,-0.0395,-0.0395,-0.0395,-0.0495,-0.0505,-0.0505,-0.0505,-0.0505,-0.0505,-0.0505,-0.0505,-0.0566,-0.0566,-0.0566,-0.0566,-0.0566,-0.0566,-0.0566,-0.0566,-0.0566,-0.0566,-0.0566,-0.0566,-0.0566,-0.0566,-0.0566,-0.0566
7,-0.0412,-0.0506,-0.0462,-0.034,-0.0264,-0.0205,-0.0197,-0.0208,-0.0137,-0.0084,-0.0093,-0.0033,0.0009,0.0049,0.0142,0.0115,0.021,0.0176,0.0274,0.0264,0.0278,0.0334,0.0289,0.0344,0.0326,0.0333,0.0331,0.0399,0.0481,0.0418,0.0409
8,-0.0168,-0.0225,-0.0309,-0.0368,-0.0467,-0.0537,-0.0587,-0.0653,-0.0696,-0.0797,-0.0909,-0.0934,-0.0978,-0.1049,-0.1113,-0.1166,-0.1123,-0.1171,-0.1247,-0.1347,-0.1369,-0.1473,-0.1509,-0.1543,-0.1529,-0.1542,-0.1608,-0.1609,-0.1614,-0.1654,-0.1625
9,-0.0225,-0.0208,-0.0222,-0.0278,-0.0213,-0.0239,-0.0222,-0.0262,-0.0198,-0.0239,-0.0162,-0.0218,-0.0232,-0.0245,-0.0247,-0.024,-0.0246,-0.0236,-0.0237,-0.0241,-0.0178,-0.0177,-0.0207,-0.0159,-0.0204,-0.0184,-0.0192,-0.0164,-0.014,-0.0187,-0.0159
