Id,Epoch:0,Epoch:1,Epoch:2,Epoch:3,Epoch:4,Epoch:5,Epoch:6,Epoch:7
0,-0.071,-0.071,-0.071,-0.071,-0.071,-0.071,-0.071,-0.071
1,-0.0561,-0.0561,-0.0561,-0.0561,-0.0561,-0.0561,-0.0561,-0.0561
2,0.0534,0.0534,0.0534,0.0534,0.0534,0.0534,0.0534,0.0534
3,-0.0043,-0.0043,-0.0043,-0.0043,-0.0043,-0.0043,-0.0043,-0.0043
4,-0.0678,-0.0678,-0.0678,-0.0678,-0.0678,-0.0678,-0.0678,-0.0678
5,-0.0306,-0.0306,-0.0306,-0.0306,-0.0306,-0.0306,-0.0306,-0.0306
6,0.0033,0.0033,0.0033,0.0033,0.0033,0.0033,0.0033,0.0033
7,-0.0384,-0.0384,-0.0384,-0.0384,-0.0384,-0.0384,-0.0384,-0.0384
8,-0.0485,-0.0485,-0.0485,-0.0485,-0.0485,-0.0485,-0.0485,-0.0485
9,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414
10,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014
11,-0.0511,-0.0511,-0.0511,-0.0511,-0.0511,-0.0511,-0.0511,-0.0511
12,0.0785,0.0785,0.0785,0.0785,0.0785,0.0785,0.0785,0.0785
13,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098
14,0.0662,0.0662,0.0662,0.0662,0.0662,0.0662,0.0662,0.0662
15,-0.0731,-0.0731,-0.0731,-0.0731,-0.0731,-0.0731,-0.0731,-0.0731
16,-0.0784,-0.0784,-0.0784,-0.0784,-0.0784,-0.0784,-0.0784,-0.0784
17,-0.0787,-0.0787,-0.0787,-0.0787,-0.0787,-0.0787,-0.0787,-0.0787
18,0.0587,0.0587,0.0587,0.0587,0.0587,0.0587,0.0587,0.0587
19,-0.0619,-0.0619,-0.0619,-0.0619,-0.0619,-0.0619,-0.0619,-0.0619
20,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035
21,0.0418,0.0418,0.0418,0.0418,0.0418,0.0418,0.0418,0.0418
22,0.0284,0.0284,0.0284,0.0284,0.0284,0.0284,0.0284,0.0284
23,-0.0867,-0.0867,-0.0867,-0.0867,-0.0867,-0.0867,-0.0867,-0.0867
24,0.0088,0.0383,0.066,0.098,0.1263,0.2497,0.27,0.295
25,0.0286,0.0579,0.0791,0.1086,0.1295,0.263,0.2879,0.3134
26,0.0857,0.1154,0.1432,0.178,0.2137,0.3343,0.3407,0.3538
27,-0.0024,0.0273,0.0488,0.0786,0.0998,0.2348,0.2598,0.2854
28,0.0809,0.1106,0.1384,0.1521,0.1716,0.2396,0.216,0.1948
29,-0.0207,0.009,0.0305,0.0604,0.0816,0.2168,0.2418,0.2674
30,0.0116,0.0411,0.0688,0.0823,0.1016,0.1693,0.1461,0.1253
31,-0.0561,-0.0268,-0.0057,0.0237,0.0447,0.178,0.2029,0.2283
32,-0.0218,-0.0218,-0.0218,-0.0218,-0.0218,-0.0218,-0.0218,-0.0218
33,0.0543,0.0543,0.0543,0.0543,0.0543,0.0543,0.0543,0.0543
34,0.0799,0.0799,0.0799,0.0799,0.0799,0.0799,0.0799,0.0799
35,-0.012,-0.012,-0.012,-0.012,-0.012,-0.012,-0.012,-0.012
36,-0.0008,-0.0008,-0.0008,-0.0008,-0.0008,-0.0008,-0.0008,-0.0008
37,0.0237,0.0237,0.0237,0.0237,0.0237,0.0237,0.0237,0.0237
38,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
39,-0.0729,-0.0729,-0.0729,-0.0729,-0.0729,-0.0729,-0.0729,-0.0729
40,0.0309,0.0309,0.0309,0.0309,0.0309,0.0309,0.0309,0.0309
41,-0.012,-0.012,-0.012,-0.012,-0.012,-0.012,-0.012,-0.012
42,-0.0527,-0.0527,-0.0527,-0.0527,-0.0527,-0.0527,-0.0527,-0.0527
43,0.0813,0.0813,0.0813,0.0813,0.0813,0.0813,0.0813,0.0813
44,0.0223,0.0223,0.0223,0.0223,0.0223,0.0223,0.0223,0.0223
45,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122
46,0.0846,0.0846,0.0846,0.0846,0.0846,0.0846,0.0846,0.0846
47,0.0795,0.0795,0.0795,0.0795,0.0795,0.0795,0.0795,0.0795
48,0.0531,0.0531,0.0531,0.0531,0.0531,0.0531,0.0531,0.0531
49,0.0825,0.0825,0.0825,0.0825,0.0825,0.0825,0.0825,0.0825
50,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024
51,0.0504,0.0504,0.0504,0.0504,0.0504,0.0504,0.0504,0.0504
52,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137
53,0.0616,0.0616,0.0616,0.0616,0.0616,0.0616,0.0616,0.0616
54,-0.0792,-0.0792,-0.0792,-0.0792,-0.0792,-0.0792,-0.0792,-0.0792
55,0.0493,0.0493,0.0493,0.0493,0.0493,0.0493,0.0493,0.0493
56,-0.0056,-0.0056,-0.0056,-0.0056,-0.0056,-0.0056,-0.0056,-0.0056
57,0.0321,0.0321,0.0321,0.0321,0.0321,0.0321,0.0321,0.0321
