Id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,0.0088,-0.0155,-0.0545,-0.0668,-0.0881,-0.1413,-0.1567,-0.1602,-0.1625,-0.1692,-0.1532,-0.1488,-0.2266,-0.2532,-0.2344,-0.2458,-0.2165,-0.2053,-0.2026,-0.1977,-0.2048,-0.1968,-0.1944,-0.1889,-0.1938,-0.1966,-0.2091,-0.2145,-0.2057,-0.1978,-0.1892
1,-0.1145,-0.1213,-0.1285,-0.1374,-0.1355,-0.1507,-0.1416,-0.1443,-0.1444,-0.1613,-0.1684,-0.1717,-0.1783,-0.2076,-0.1846,-0.1942,-0.1939,-0.2056,-0.1966,-0.2021,-0.2028,-0.2099,-0.21600000000000005,-0.2135,-0.2033,-0.2018,-0.211,-0.2194,-0.2467,-0.2563,-0.2248
2,-0.0984,-0.0984,-0.0984,-0.0984,-0.0984,-0.0984,-0.1249,-0.1249,-0.1249,-0.1249,-0.1249,-0.1249,-0.1367,-0.1367,-0.1367,-0.1367,-0.1367,-0.1367,-0.1367,-0.1367,-0.1367,-0.1367,-0.1367,-0.1367,-0.1367,-0.1367,-0.1367,-0.1367,-0.1367,-0.1367,-0.1367
3,-0.0982,-0.1011,-0.1014,-0.0952,-0.1105,-0.1088,-0.0726,-0.0826,-0.0821,-0.0985,-0.0924,-0.0909,-0.085,-0.1019,-0.1211,-0.1329,-0.1316,-0.1347,-0.1528,-0.1545,-0.1458,-0.1319,-0.1173,-0.1174,-0.1013,-0.133,-0.1442,-0.1459,-0.1311,-0.1339,-0.1414
4,-0.0528,-0.0706,-0.077,-0.0862,-0.0885,-0.1098,-0.1112,-0.1071,-0.109,-0.0938,-0.096,-0.1012,-0.1195,-0.1287,-0.1274,-0.114,-0.1056,-0.0947,-0.0702,-0.055,-0.0454,-0.0794,-0.077,-0.0989,-0.0996,-0.0937,-0.0894,-0.1035,-0.1172,-0.1209,-0.1328
5,-0.0701,-0.0674,-0.0676,-0.075,-0.0719,-0.0749,-0.0725,-0.075,-0.0753,-0.0698,-0.0742,-0.0782,-0.0772,-0.0706,-0.0577,-0.0556,-0.0538,-0.0519,-0.0501,-0.0501,-0.0534,-0.0448,-0.0427,-0.0397,-0.0455,-0.0458,-0.0438,-0.0386,-0.0518,-0.0334,-0.0548
6,-0.0292,-0.0246,-0.0185,-0.0231,-0.0229,-0.018000000000000002,-0.0066,-0.0007,0.0087,0.01,0.0099,0.0101,0.0222,0.0222,0.0211,0.0172,0.0072,-0.0006,0.0007,-0.0028,-0.0026,-0.0088,0.0062,0.0059,-0.0077,-0.0004,-0.0074,-0.0002,0.0073,0.0232,0.0175
7,0.0473,0.047,0.0527,0.0522,0.0644,0.0685,0.0589,0.0623,0.0571,0.0557,0.0597,0.0643,0.0662,0.0627,0.0638,0.0617,0.0514,0.0377,0.0454,0.0372,0.0533,0.0568,0.066,0.07400000000000001,0.0938,0.0872,0.0818,0.0858,0.0803,0.0803,0.0652
8,0.0829,0.07400000000000001,0.0734,0.0734,0.0729,0.0671,0.0565,0.0565,0.0566,0.0564,0.0547,0.0551,0.0455,0.0452,0.04,0.04,0.0398,0.0404,0.0376,0.0371,0.0372,0.0387,0.0469,0.0431,0.0594,0.0532,0.0509,0.0671,0.0767,0.0743,0.0777
9,0.0445,0.0462,0.0397,0.042,0.0432,0.0404,0.036000000000000004,0.0323,0.0301,0.0221,0.0245,0.0281,0.0201,0.0027,-0.0031,0.0221,0.0172,0.0255,0.0197,0.0171,0.0213,0.0297,0.0407,0.0395,0.0569,0.0297,0.0163,0.0156,0.0118,0.0187,0.0113
10,0.0892,0.0961,0.0964,0.0994,0.0973,0.1035,0.1033,0.1071,0.1097,0.1138,0.1225,0.1232,0.1265,0.124,0.1154,0.1183,0.1211,0.1175,0.1167,0.1258,0.1239,0.1265,0.1236,0.1249,0.139,0.1427,0.1446,0.1389,0.1387,0.1337,0.1419
11,0.0377,0.0153,0.0392,0.0284,0.0455,0.0447,0.0489,0.0687,0.0796,0.0935,0.1082,0.1139,0.1228,0.1335,0.1432,0.1327,0.1464,0.1584,0.1694,0.1809,0.1834,0.1885,0.1746,0.1844,0.1831,0.1755,0.1716,0.1796,0.19,0.2024,0.2066
12,-0.0267,-0.0209,-0.02,-0.0201,-0.0245,-0.0204,-0.0178,-0.0219,-0.0242,-0.02,-0.0241,-0.0146,-0.0188,-0.0117,-0.0061,-0.0126,-0.0163,-0.0148,-0.0207,-0.009000000000000001,-0.0151,-0.0144,-0.0153,-0.0112,-0.0174,-0.0173,-0.0182,-0.0063,-0.0045,0.0108,0.0035
13,0.0744,0.0753,0.0745,0.0717,0.07200000000000001,0.0702,0.0746,0.0772,0.0655,0.0605,0.0619,0.0621,0.0604,0.0817,0.0684,0.0849,0.0821,0.0847,0.0955,0.0775,0.0703,0.0564,0.0583,0.0609,0.0615,0.0715,0.056,0.0561,0.0634,0.0802,0.087
14,0.0015,0.0006,0.001,-0.0008,0.0035,0.0022,0.012,0.0348,0.0449,0.0606,0.0519,0.0579,0.0705,0.0856,0.0892,0.0929,0.0858,0.115,0.1123,0.0965,0.1045,0.0988,0.0938,0.0922,0.0972,0.0861,0.0914,0.0808,0.0937,0.1015,0.0955
15,0.1146,0.124,0.1221,0.12300000000000001,0.122,0.1267,0.1172,0.0947,0.0909,0.0862,0.0754,0.0605,0.0645,0.0725,0.0605,0.0504,0.0546,0.0441,0.0599,0.0496,0.0538,0.053,0.0499,0.0524,0.0536,0.0336,0.0326,0.0419,0.0291,0.023,0.0071
16,0.0381,0.0995,0.1344,0.1487,0.1637,0.237,0.2323,0.2478,0.2524,0.2414,0.237,0.2523,0.3244,0.2977,0.2965,0.3023,0.2922,0.3015,0.3103,0.3158,0.304,0.2944,0.2989,0.3081,0.3206,0.3095,0.3134,0.2861,0.2883,0.2969,0.2874
17,-0.0284,-0.0314,-0.0358,-0.0391,-0.0269,-0.0342,-0.0247,-0.0027,0.0005,0.0048,0.0038,-0.0005,0.0133,0.0344,0.0304,0.07,0.0682,0.0777,0.0537,0.0688,0.0706,0.0817,0.1169,0.1202,0.1141,0.0943,0.1057,0.1238,0.1214,0.1313,0.1275
18,0.0807,0.079,0.0791,0.0828,0.0836,0.0849,0.078,0.0821,0.0764,0.071,0.0722,0.0683,0.0704,0.0554,0.0606,0.0577,0.0521,0.0689,0.0748,0.0758,0.0703,0.0758,0.0725,0.0706,0.0707,0.0646,0.0736,0.0717,0.0835,0.0847,0.0821
19,-0.0873,-0.115,-0.1151,-0.1141,-0.1358,-0.1519,-0.168,-0.1871,-0.1953,-0.2114,-0.2064,-0.2111,-0.2483,-0.2566,-0.2575,-0.2502,-0.2495,-0.245,-0.2281,-0.23,-0.2064,-0.1948,-0.1986,-0.2064,-0.1977,-0.2047,-0.2098,-0.2043,-0.1968,-0.1979,-0.2046
20,-0.0738,-0.0763,-0.0738,-0.0733,-0.0673,-0.0665,-0.0675,-0.0569,-0.066,-0.0584,-0.0622,-0.0579,-0.0542,-0.0533,-0.047,-0.0514,-0.0543,-0.0497,-0.0603,-0.0631,-0.0617,-0.0733,-0.0761,-0.0727,-0.0797,-0.081,-0.0831,-0.0749,-0.0801,-0.0782,-0.077
21,-0.0991,-0.0901,-0.0994,-0.10300000000000001,-0.1,-0.1042,-0.1166,-0.1047,-0.1035,-0.0897,-0.0847,-0.0666,-0.0851,-0.0836,-0.0709,-0.0703,-0.0635,-0.0537,-0.057,-0.0668,-0.055,-0.0398,-0.0445,-0.0382,-0.0318,-0.0208,-0.0238,-0.027000000000000003,-0.0241,-0.0293,-0.0266
22,-0.0752,-0.0794,-0.0685,-0.0675,-0.0641,-0.0573,-0.047,-0.0451,-0.045,-0.045,-0.042,-0.0431,-0.0295,-0.0321,-0.0386,-0.032,-0.0325,-0.0221,-0.0184,-0.0229,-0.0296,-0.0312,-0.0274,-0.0258,-0.0252,-0.0308,-0.0352,-0.0406,-0.0417,-0.0366,-0.0481
23,-0.1092,-0.1109,-0.1112,-0.1108,-0.1194,-0.1204,-0.1457,-0.138,-0.1192,-0.1242,-0.1423,-0.1423,-0.147,-0.0893,-0.0896,-0.0875,-0.0995,-0.0622,-0.0674,-0.0836,-0.0915,-0.106,-0.0983,-0.1091,-0.0951,-0.1144,-0.0934,-0.0856,-0.0811,-0.0941,-0.0822
24,-0.0139,-0.011000000000000001,-0.0134,-0.0134,-0.0182,-0.0184,-0.0383,-0.0339,-0.0343,-0.039,-0.03,-0.0194,-0.0389,-0.0144,-0.0006,0.0009,-0.005,-0.0016,0.003,0.0074,-0.0159,-0.0122,-0.0287,-0.0215,-0.0134,-0.0199,-0.0172,-0.0201,-0.0211,-0.0053,-0.0149
25,-0.0918,-0.0936,-0.0957,-0.0947,-0.0913,-0.0935,-0.0824,-0.0788,-0.0794,-0.0771,-0.0832,-0.0804,-0.0744,-0.0739,-0.0831,-0.08900000000000001,-0.094,-0.0948,-0.0902,-0.0895,-0.081,-0.0831,-0.0794,-0.0733,-0.0712,-0.0774,-0.0778,-0.0707,-0.0557,-0.0542,-0.0626
26,-0.0442,-0.0508,-0.0494,-0.0382,-0.0203,-0.0164,-0.0053,-0.0057,0.0087,0.0046,0.0133,0.0203,0.036000000000000004,0.0203,0.0264,0.0359,0.0207,0.0126,0.019,0.0213,0.0195,0.0165,0.0021,0.0028,-0.0048,0.0037,0.0086,0.0244,0.0378,0.0414,0.0304
27,0.0858,0.0928,0.0917,0.0914,0.0871,0.0902,0.0817,0.0935,0.0838,0.0686,0.0614,0.0672,0.0652,0.0701,0.0554,0.0514,0.0464,0.0342,0.0509,0.0327,0.0362,0.0279,0.0314,0.0301,0.0311,0.0461,0.0455,0.0333,0.0226,0.0169,0.0015
28,-0.0177,-0.0178,-0.023,-0.0364,-0.0339,-0.0462,-0.0576,-0.045,-0.0283,-0.038,-0.0377,-0.05,-0.0528,-0.0411,-0.0406,-0.0611,-0.0613,-0.0427,-0.0661,-0.0731,-0.0747,-0.0573,-0.0708,-0.0666,-0.0592,-0.0499,-0.0445,-0.054000000000000006,-0.0496,-0.0659,-0.083
29,-0.0417,-0.037000000000000005,-0.0427,-0.0497,-0.0608,-0.0667,-0.0688,-0.0777,-0.0806,-0.078,-0.0796,-0.075,-0.0948,-0.1123,-0.1059,-0.1036,-0.0834,-0.0787,-0.073,-0.0798,-0.0651,-0.0677,-0.0585,-0.0604,-0.054000000000000006,-0.0549,-0.0403,-0.0443,-0.0362,-0.0364,-0.0274
30,-0.0084,-0.0137,-0.0175,-0.0255,-0.0291,-0.0401,-0.0601,-0.0615,-0.0749,-0.0751,-0.0879,-0.0853,-0.1081,-0.1279,-0.1323,-0.1321,-0.1297,-0.13699999999999998,-0.1371,-0.1377,-0.1402,-0.1447,-0.1608,-0.1399,-0.1444,-0.1507,-0.1471,-0.1516,-0.1551,-0.1556,-0.1667
31,-0.0109,-0.0143,-0.0322,-0.0478,-0.0511,-0.0768,-0.095,-0.0982,-0.1027,-0.1014,-0.1101,-0.1059,-0.1446,-0.158,-0.1504,-0.1454,-0.1343,-0.1243,-0.1234,-0.1172,-0.1182,-0.1172,-0.1038,-0.1087,-0.1035,-0.0978,-0.1053,-0.1163,-0.1002,-0.095,-0.087
32,0.0041,-0.0071,0.011,-0.0308,-0.0286,-0.0459,-0.0938,-0.0917,-0.0984,-0.1003,-0.1058,-0.1073,-0.1488,-0.1438,-0.136,-0.1409,-0.1133,-0.1191,-0.1121,-0.1242,-0.0792,-0.0876,-0.0831,-0.1008,-0.1146,-0.1029,-0.0951,-0.1043,-0.1112,-0.1168,-0.1691
33,0.031,0.1488,0.1385,0.1338,0.1313,0.1909,0.1405,0.1282,0.115,0.1212,0.1239,0.1207,0.1398,0.0717,0.07400000000000001,0.0675,0.0503,0.0355,0.0391,0.0593,0.0472,0.0375,0.0474,0.0671,0.0731,0.0858,0.0694,0.0747,0.0789,0.0823,0.0917
34,-0.0758,-0.0758,-0.066,-0.066,-0.066,-0.0582,-0.0682,-0.0682,-0.0682,-0.0682,-0.0682,-0.0682,-0.0652,-0.0652,-0.0652,-0.0652,-0.0652,-0.0652,-0.0652,-0.0652,-0.0652,-0.0652,-0.0652,-0.0652,-0.0652,-0.0652,-0.0652,-0.0652,-0.0652,-0.0652,-0.0652
35,0.0644,0.0703,0.0693,0.0737,0.1374,0.1428,0.1464,0.1546,0.1745,0.1402,0.1572,0.1453,0.1945,0.1457,0.1581,0.1764,0.1773,0.1988,0.1848,0.1942,0.1863,0.1661,0.1827,0.2052,0.22,0.2274,0.206,0.2048,0.2003,0.2155,0.2335
36,-0.0106,0.0359,0.0488,0.0324,0.054000000000000006,0.0824,0.0648,0.0654,0.1014,0.0771,0.0693,0.1146,0.12,0.1344,0.1504,0.1798,0.188,0.2159,0.2015,0.1999,0.2161,0.2119,0.2112,0.2045,0.1837,0.1887,0.1812,0.1747,0.1805,0.2,0.2062
37,0.0608,0.096,0.0917,0.0821,0.094,0.1059,0.0706,0.0556,0.0385,0.0399,0.0146,0.0227,0.015,0.0111,-0.0119,-0.0292,-0.0147,-0.0048,0.0215,0.0249,0.0261,0.0177,0.0064,0.0156,0.0084,-0.0044,-0.0201,-0.0273,-0.0227,-0.0068,-0.0127
38,0.0868,0.14,0.1677,0.1597,0.1494,0.1987,0.159,0.1638,0.1516,0.1292,0.121,0.1331,0.1475,0.1403,0.1428,0.1509,0.1486,0.1734,0.1627,0.1656,0.1484,0.1548,0.1486,0.1498,0.14800000000000002,0.1416,0.1389,0.1424,0.1364,0.127,0.1282
39,0.0314,0.0131,-0.0249,-0.0464,-0.0394,-0.0937,-0.0165,-0.028999999999999998,-0.0425,-0.03,-0.0321,-0.0266,-0.053,-0.0709,-0.0661,-0.0714,-0.063,-0.0639,-0.0426,-0.0427,-0.0415,-0.0465,-0.0416,-0.0523,-0.0358,-0.0262,-0.0219,-0.0153,0.0013,0.001,0.0075
40,0.0294,0.0293,0.0293,0.0298,0.0298,0.03,0.0076,0.0076,0.0076,0.0077,0.0077,0.0077,-0.0019,-0.0019,-0.0019,-0.0019,-0.0019,-0.0019,-0.0019,-0.0019,-0.0019,-0.0019,0.0137,0.0209,0.0143,0.0169,0.0195,0.0105,-0.0027,0.0001,-0.0102
41,0.0364,0.0046,-0.0294,-0.0558,-0.0179,-0.08,-0.0938,-0.0954,-0.054000000000000006,-0.0546,-0.0338,-0.0218,-0.078,-0.0941,-0.0934,-0.0983,-0.0871,-0.0876,-0.0725,-0.0731,-0.066,-0.0404,-0.0223,-0.0294,-0.0371,-0.0782,-0.0656,-0.069,-0.0749,-0.0544,-0.0573
