Id,Epoch:0,Epoch:1,Epoch:2,Epoch:3,Epoch:4,Epoch:5,Epoch:6,Epoch:7,Epoch:8,Epoch:9,Epoch:10
0,-0.8171,-1.3601,-1.7712,-2.149,-2.4754,-3.3568,-3.7673,-4.1779,-4.1306,-4.1665,-4.2201
1,0.8316,1.2946,1.314,1.2398,1.2251,1.4739,1.5471,1.6203,0.9997,1.0515,1.1441
2,-0.5925,-1.0718,-1.396,-1.6753,-1.941,-2.6555,-2.9856,-3.3156,-3.2723,-3.3671,-3.4274
3,-0.8561,-1.3965,-1.7512,-2.0449,-2.2668,-3.051,-3.398,-3.745,-3.4843,-3.478,-3.4846
4,0.8019,1.625,2.446,3.1241,3.6271,5.1846,5.8996,6.6145,5.8963,5.5597,5.3076
5,-0.2224,-0.4435,-0.5248,-0.5281,-0.4895,-0.6892,-0.7511,-0.8129,-0.5888,-0.5507,-0.5058
6,0.7264,1.3457,1.5313,1.5893,1.6521,2.207,2.4165,2.626,2.4331,2.4225,2.3742
7,-0.6401,-1.1486,-1.4992,-1.6955,-1.8165,-2.5199,-2.8098,-3.0998,-3.1139,-3.0533,-3.0015
8,0.1327,-0.022,-0.053,-0.0683,-0.0751,-0.2019,-0.2481,-0.2943,-0.1504,-0.1731,-0.1874
9,0.4812,0.4874,0.6066,0.88,1.1669,4.64771127740687e-310,6.9033802319912e-310,6.90324690772014e-310,1.0399,1.259,1.4097
