Id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,-0.0068,-0.0103,0.0057,0.0125,0.0113,0.0084,0.0068,0.0016,0.0061,-0.0058,-0.0027,0.0064,0.0061,0.0086,0.0051,0.013000000000000001,0.0049,0.0002,0.0025,-0.006,-0.0083,-0.0074,-0.0116,-0.0138,-0.0083,-0.0131,-0.0124,-0.0112,-0.0225,-0.0198,-0.0254
1,0.0511,0.0592,0.066,0.0617,0.0643,0.0682,0.0599,0.0638,0.0635,0.0672,0.0675,0.0712,0.0712,0.0695,0.0626,0.0765,0.0708,0.0688,0.0722,0.0711,0.0794,0.0756,0.0786,0.0803,0.0743,0.087,0.0743,0.0768,0.0756,0.0731,0.0855
2,0.0058,0.0113,0.0128,0.0237,0.0243,0.0192,0.0218,0.024,0.0195,0.027000000000000003,0.0253,0.0288,0.0278,0.0334,0.0309,0.0246,0.0263,0.0239,0.0365,0.0294,0.0264,0.026000000000000002,0.0334,0.0298,0.0355,0.0349,0.0409,0.0362,0.0309,0.032,0.042
3,-0.0132,-0.0132,-0.0414,-0.0414,-0.0414,-0.0414,-0.0414,-0.0414,-0.0414,-0.0414,-0.0414,-0.0414,-0.0414,-0.0414,-0.0414,-0.0414,-0.0414,-0.0414,-0.0414,-0.0414,-0.0414,-0.0414,-0.0414,-0.0414,-0.0414,-0.0414,-0.0414,-0.0414,-0.0414,-0.0414,-0.0414
4,0.0056,-0.0028,-0.0118,-0.0223,-0.0251,-0.0252,-0.0308,-0.0338,-0.0416,-0.0456,-0.0439,-0.0449,-0.0521,-0.0453,-0.0571,-0.0597,-0.0568,-0.0594,-0.0624,-0.0585,-0.066,-0.0651,-0.0754,-0.075,-0.0772,-0.0784,-0.0882,-0.0961,-0.095,-0.1029,-0.0998
5,0.024,0.0351,0.0469,0.049,0.0486,0.0579,0.0612,0.0671,0.0618,0.0733,0.0713,0.0691,0.0736,0.0717,0.0794,0.0639,0.0707,0.0649,0.0688,0.0702,0.07200000000000001,0.0728,0.0643,0.0676,0.0654,0.0669,0.0648,0.0636,0.0725,0.0668,0.0699
6,0.0083,0.0165,0.0266,0.0383,0.0402,0.0416,0.0447,0.0482,0.0518,0.0552,0.0541,0.0543,0.051,0.0592,0.0543,0.0507,0.0452,0.0398,0.0414,0.0393,0.0396,0.0423,0.0376,0.0337,0.0406,0.0388,0.0412,0.0328,0.0281,0.0339,0.0293
7,0.0019,-0.0007,0.0126,0.0158,0.0275,0.0264,0.0273,0.0289,0.0284,0.0243,0.0193,0.022000000000000002,0.0187,0.0289,0.0312,0.0262,0.0213,0.0232,0.0175,0.0115,0.0182,0.0102,0.016,0.0093,0.0038,0.0086,0.0121,0.0052,0.0101,0.0112,0.0125
8,0.0322,0.0479,0.0532,0.0683,0.0752,0.0763,0.0818,0.0872,0.0949,0.10300000000000001,0.1003,0.1004,0.1031,0.1056,0.1103,0.1127,0.1092,0.1132,0.1173,0.1163,0.1269,0.1244,0.1182,0.128,0.1214,0.1258,0.1238,0.1279,0.1417,0.1388,0.1479
9,-0.0087,-0.0148,-0.0059,0.0044,0.0113,0.0209,0.0221,0.0278,0.0219,0.0222,0.0303,0.0341,0.0271,0.0303,0.0288,0.0373,0.0309,0.0277,0.0347,0.0349,0.0327,0.0373,0.0286,0.0266,0.0322,0.0287,0.029,0.0291,0.0251,0.023,0.0229
10,-0.0075,-0.0076,-0.0076,-0.0076,-0.0076,-0.0076,-0.0076,-0.0076,-0.0378,-0.0381,-0.0468,-0.0226,-0.0355,-0.0411,-0.0439,-0.038,-0.0481,-0.0444,-0.0384,-0.0388,-0.023,-0.0395,-0.0444,-0.0398,-0.0343,-0.0517,-0.045,-0.0478,-0.0452,-0.0419,-0.037
11,-0.0081,-0.0088,-0.0161,-0.0237,-0.0298,-0.04,-0.0363,-0.0398,-0.0485,-0.0588,-0.0523,-0.0675,-0.0736,-0.0728,-0.0797,-0.0793,-0.0886,-0.0932,-0.0921,-0.0957,-0.1029,-0.1053,-0.1079,-0.1142,-0.1193,-0.114,-0.1255,-0.1329,-0.1301,-0.1439,-0.15
12,-0.0199,-0.0267,-0.0317,-0.0255,-0.0288,-0.0282,-0.0314,-0.0241,-0.0348,-0.0355,-0.0411,-0.0314,-0.032,-0.0332,-0.0329,-0.0325,-0.0324,-0.0399,-0.0299,-0.04,-0.039,-0.0335,-0.0343,-0.04,-0.0438,-0.0477,-0.0412,-0.0399,-0.042,-0.0374,-0.0402
13,-0.0182,-0.0213,-0.0148,-0.0111,-0.0109,0.004,-0.0165,-0.0048,-0.01,-0.0089,-0.0075,-0.0123,-0.0171,-0.0099,-0.0114,-0.0154,-0.004,-0.0015,-0.0023,-0.0022,-0.0032,0.0034,0.0102,-0.0065,0.0083,-0.0055,0.0125,0.005,0.0078,0.0128,0.015
14,-0.0114,-0.0196,-0.0134,-0.0173,-0.0118,-0.0204,-0.0188,-0.0152,-0.0097,-0.0063,-0.0035,-0.0084,0.0014,0.0057,-0.0006,0.0069,0.0017,0.0039,0.0072,0.0073,0.0009,0.0043,0.0016,-0.0121,-0.0087,-0.0082,-0.0083,-0.001,-0.0076,-0.0046,-0.0099
15,0.0382,0.0507,0.0699,0.0761,0.093,0.1013,0.1088,0.11599999999999999,0.1207,0.1278,0.1284,0.1347,0.1328,0.134,0.1374,0.1395,0.142,0.1492,0.1535,0.1518,0.154,0.1498,0.1509,0.1476,0.1483,0.1523,0.1489,0.1524,0.154,0.1539,0.1546
16,-0.0035,0.0074,0.0151,0.0234,0.0256,0.0477,0.0402,0.0515,0.0523,0.0538,0.0561,0.0567,0.0613,0.0596,0.0678,0.0669,0.0643,0.0788,0.0783,0.0802,0.0744,0.0899,0.0911,0.09,0.0894,0.0859,0.0948,0.0896,0.0991,0.0921,0.093
17,-0.0131,-0.015,-0.015,-0.015,-0.015,-0.015,-0.015,-0.015,-0.015,-0.015,-0.015,-0.015,-0.015,-0.015,-0.015,-0.015,-0.015,-0.0465,-0.0465,-0.0465,-0.0465,-0.0465,-0.0465,-0.0465,-0.0465,-0.0465,-0.0465,-0.0465,-0.0465,-0.0465,-0.0465
18,-0.0048,-0.0059,-0.0059,-0.0059,-0.0059,-0.0059,-0.0059,-0.0059,-0.0059,-0.0059,-0.0357,-0.0357,-0.0357,-0.0357,-0.0357,-0.0357,-0.0357,-0.0357,-0.0357,-0.0357,-0.0357,-0.0357,-0.0357,-0.0357,-0.0357,-0.0357,-0.0357,-0.0357,-0.0357,-0.0357,-0.0357
19,-0.0057,-0.0057,-0.0057,-0.0057,-0.0057,-0.0057,-0.0057,-0.0057,-0.0057,-0.0057,-0.0057,-0.0057,-0.0057,-0.0057,-0.0057,-0.035,-0.035,-0.035,-0.035,-0.035,-0.035,-0.035,-0.035,-0.035,-0.035,-0.035,-0.035,-0.035,-0.035,-0.035,-0.035
20,-0.0163,-0.0136,-0.0164,-0.0201,-0.0183,-0.0168,-0.0177,-0.015,-0.0232,-0.0223,-0.0185,-0.0155,-0.0195,-0.0269,-0.0113,-0.02,-0.0238,-0.0242,-0.0229,-0.011000000000000001,-0.0088,-0.0051,-0.0006,-0.0,-0.0012,-0.0134,-0.0047,-0.0077,-0.0081,-0.0098,-0.0064
21,-0.0115,-0.0115,-0.0161,-0.0161,-0.0161,-0.0161,-0.0161,-0.0161,-0.0161,-0.0161,-0.0161,-0.0161,-0.0161,-0.0161,-0.0161,-0.0161,-0.0161,-0.0161,-0.0161,-0.0161,-0.0161,-0.0161,-0.0161,-0.0161,-0.0161,-0.0161,-0.0161,-0.0161,-0.0161,-0.0161,-0.0161
22,-0.0165,-0.0171,-0.0136,-0.0156,-0.0117,-0.0046,-0.0075,-0.0044,0.0033,-0.0001,0.0034,0.0106,0.0146,0.0112,0.0202,0.0125,0.0113,0.0158,0.0205,0.0213,0.0147,0.0177,0.0051,0.0124,0.0095,0.01,0.0204,0.0115,0.0101,0.0088,0.018
23,0.0162,0.0164,0.0279,0.0312,0.0382,0.0413,0.038,0.0408,0.033,0.0402,0.0393,0.0372,0.0365,0.0401,0.0401,0.042,0.0385,0.049,0.0424,0.0437,0.0474,0.05,0.05,0.0518,0.0416,0.0552,0.0567,0.05,0.0487,0.0469,0.045
24,-0.0091,-0.0091,-0.0091,-0.0091,-0.0091,-0.0091,-0.0091,-0.0091,-0.0091,-0.0091,-0.0374,-0.0392,-0.0392,-0.0392,-0.0392,-0.0392,-0.0392,-0.0392,-0.0392,-0.0392,-0.0392,-0.0392,-0.0392,-0.0392,-0.0392,-0.0392,-0.0392,-0.0392,-0.0392,-0.0392,-0.0392
25,-0.0082,-0.0082,-0.0082,-0.0298,-0.0158,-0.0089,-0.0091,0.0002,0.014,0.0078,0.018000000000000002,0.0217,0.0189,0.0253,0.0342,0.0315,0.0458,0.0592,0.0485,0.052000000000000005,0.063,0.057999999999999996,0.0596,0.0655,0.0566,0.0654,0.0737,0.0738,0.0722,0.0657,0.0732
26,0.0079,0.0281,0.0287,0.0296,0.0289,0.0256,0.034,0.0359,0.0357,0.0325,0.0401,0.0353,0.0387,0.0405,0.0417,0.045,0.0399,0.035,0.0393,0.0443,0.0473,0.0424,0.0356,0.0491,0.0473,0.0499,0.0501,0.0534,0.0484,0.0461,0.0469
27,0.0345,0.0624,0.0655,0.07200000000000001,0.0738,0.0848,0.0877,0.1033,0.1037,0.1115,0.1135,0.1239,0.1242,0.1241,0.1265,0.1335,0.1355,0.1317,0.1349,0.129,0.1362,0.1486,0.1449,0.1482,0.1534,0.1555,0.1608,0.1595,0.1565,0.1623,0.1546
