Id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,-0.0068,-0.0103,0.0057,0.0125,0.0113,0.0261,0.0313,0.0297,0.0305,0.0291,0.0236,0.0214,0.0414,0.0318,0.031,0.0307,0.0272,0.0218,0.0234,0.0235,0.0127,0.0129,0.0128,0.0092,0.0149,0.0096,0.0031,0.0088,0.0046,0.0057,0.0082
1,0.0511,0.0592,0.066,0.0617,0.0643,0.07200000000000001,0.0866,0.0828,0.0899,0.0926,0.0901,0.0847,0.1025,0.0944,0.102,0.1065,0.1091,0.1065,0.1015,0.1041,0.1058,0.0963,0.0976,0.1063,0.104,0.10300000000000001,0.0957,0.0974,0.0892,0.1046,0.1022
2,0.0058,0.0113,0.0128,0.0237,0.0243,0.0353,0.0232,0.0248,0.0235,0.0267,0.028,0.027999999999999997,0.0349,0.0277,0.0216,0.0179,0.021,0.0266,0.0318,0.0203,0.0305,0.0271,0.0286,0.0269,0.0218,0.0202,0.0206,0.0261,0.02,0.0298,0.0261
3,-0.0132,-0.0132,-0.0414,-0.0414,-0.0414,-0.064,-0.064,-0.064,-0.064,-0.064,-0.064,-0.064,-0.0854,-0.0854,-0.0854,-0.0854,-0.0854,-0.0854,-0.0854,-0.0854,-0.0854,-0.0854,-0.0854,-0.0854,-0.0854,-0.0854,-0.0854,-0.0854,-0.0854,-0.0854,-0.0854
4,0.0056,-0.0028,-0.0118,-0.0223,-0.0251,-0.0436,-0.0369,-0.0429,-0.0508,-0.0395,-0.0412,-0.0506,-0.0655,-0.0637,-0.0747,-0.0777,-0.0856,-0.0826,-0.0835,-0.09,-0.0959,-0.1059,-0.1015,-0.1058,-0.0929,-0.1025,-0.1108,-0.1072,-0.1131,-0.1153,-0.1119
5,0.024,0.0351,0.0469,0.049,0.0486,0.066,0.0669,0.067,0.0662,0.0677,0.0757,0.0768,0.0898,0.1011,0.1012,0.0982,0.0958,0.0999,0.0948,0.0979,0.08900000000000001,0.0893,0.0908,0.0909,0.0838,0.085,0.0809,0.0726,0.0873,0.0888,0.081
6,0.0083,0.0165,0.0266,0.0383,0.0402,0.0602,0.0575,0.0512,0.0527,0.0591,0.0527,0.0539,0.0734,0.0506,0.0573,0.0525,0.0491,0.0477,0.0384,0.044000000000000004,0.0495,0.0435,0.0483,0.0408,0.0379,0.0382,0.0375,0.0388,0.0345,0.0309,0.0311
7,0.0019,-0.0007,0.0126,0.0158,0.0275,0.0385,0.0421,0.0332,0.0405,0.0465,0.049,0.0321,0.0587,0.0545,0.0567,0.052000000000000005,0.055,0.0515,0.049,0.0576,0.06,0.0572,0.0538,0.0484,0.0452,0.0525,0.051,0.0446,0.0408,0.0516,0.0389
8,0.0322,0.0479,0.0532,0.0683,0.0752,0.0979,0.0876,0.0922,0.0914,0.1138,0.1054,0.1175,0.1353,0.1312,0.1261,0.1441,0.1407,0.136,0.1437,0.1422,0.1365,0.1463,0.145,0.149,0.1499,0.1519,0.1491,0.1534,0.1558,0.1567,0.1589
9,-0.0087,-0.0148,-0.0059,0.0044,0.0113,0.0209,0.0192,0.0157,0.0292,0.0336,0.0321,0.0429,0.0517,0.0399,0.0552,0.0387,0.0431,0.043,0.0385,0.0361,0.0394,0.0494,0.0463,0.0393,0.0351,0.0363,0.033,0.0366,0.0439,0.0446,0.0391
